ID,LD50,Smiles
1,2.15,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
2,5,CC/C=C\C=C\CCCCCCOC(=O)C
3,2.25,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C
4,5,CCC/C=C/CCCCCCCOC(=O)C
5,2.05,C/C=C/C=C/CCCCCCCO
6,2,CCC/C=C/CCCCCCCOC(=O)C
7,2,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-]
8,1.03,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C/C)[N+](=O)[O-])[N+](=O)[O-]
9,2.25,CCCC/C=C\CCCCCCCCCC=O
10,5,CC/C=C\CCCCCCCCCCOC(=O)C
11,5,CC/C=C/CCCCCCCCOC(=O)C
12,5,CCCC/C=C\CCCCCCCCOC(=O)C
13,0.1398,ClCC=CCl
14,0.463,C(CCN)CN
15,4.64,CCCCCCCCCCO
16,0.01,CC1=CC1
17,2.51,OC(=O)Cc1cccc2ccccc12
18,2,OC(=O)Cc1cccc2ccccc12
19,0.158,C1(=C(C(=C(C(=C1Cl)C#N)Cl)Cl)O)C#N
20,0.262,CC1OC(C)OC(C)OC(C)O1
21,0.5,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
22,1.273,Clc1cc(N)c(Cl)cc1OC(F)(F)C(F)C(F)(F)F
23,0.5,C1=CC(=C(C(=C1)Cl)C(=O)N)Cl
24,2.065,C1=CC(=C(C(=C1)F)C(=O)N)F
25,2,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl
26,10,NC(=O)Cc1cccc2ccccc12
27,5,O=S(C)(=O)c1cc(N)c(cc1)C(=O)O
28,2,OC(=O)c1ccc(c(COCC(F)(F)F)c1Cl)S(C)(=O)=O
29,2,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O
30,2.25,C1=CC=C(C=C1)C2=CC=CC=C2O
31,2.052,CCCOC2=Nc1ccccc1C(=O)N2CCC
32,2,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)C(CC(C2=O)O)O)Cl)COCC(F)(F)F
33,5,CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O
34,0.09909,C1=CC(=C(C=C1N)Cl)Cl
35,1.465,OC(=O)c1nc(Cl)ccc1Cl
36,5,Clc1cc(cnc1C(O)=O)C(F)(F)F
37,5,OC(=O)c1ncc(cc1S(C)=O)C(F)(F)F
38,5,OS(=O)(=O)c1cc(ccc1C(=O)O)C(F)(F)F
39,2,O=C(CS(=O)CC(O)C(=O)O)N(Cn1cccn1)c2c(C)cccc2C
40,1.17,C1=CC(=CC=C1C(=O)O)Cl
41,0.795,CC1NC(=S)NC1
42,1.937,Clc2cc(ccc2Oc1ccc(N)c(F)c1)C(F)(F)F
43,0.24,C1CN2C(=N1)SSC2=S
44,0.5,O=C2C(c1ccccc1C)=C(N)NN2C(C)C
45,1.599,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3
46,5,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3
47,0.311,C1=CC2=C(C(=C1)O)N=CC=C2
48,0.3,CC(=O)OC2=C(CCCCCCCCCCCC)C(=O)c1ccccc1C2=O
49,0.3,CC(=O)OC2=C(CCCCCCCCCCCC)C(=O)c1ccccc1C2=O
50,0.146,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl
51,2,CC(=O)O
52,0.928,ClCC(=O)N(COCC)c1c(C)cccc1CC
53,1.345,ClCC(=O)N(COCC)c1c(C)cccc1CC
54,0.375,ClCC(=O)N(COCC)c1c(C)cccc1CC
55,2,CSC(=O)C1=C2C(=CC=C1)N=NS2
56,2,Clc2c(N)c(ccc2Oc1ccccc1)[N+]([O-])=O
57,5.596,Clc2c(N)c(ccc2Oc1ccccc1)[N+]([O-])=O
58,2.25,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C
59,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C
60,2,C1=CC=C(C(=C1)C(=O)O)C(F)(F)F
61,2,[NH4+].O.O.O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3]
62,5,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Si+4]
