ID,LD50,Smiles,,,,,,,,Predicated values from model,,,,Error (%)
1,2.15,CN1C=C(C(=N1)C(F)(F)F)C(=O)N,,,,,,,,-2.23314,,,,-196.2769911
2,5,CC/C=C\C=C\CCCCCCOC(=O)C,,,,,,,,2.49926,,,,100.0592175
3,2.25,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C,,,,,,,,2.84978,,,,-21.04653693
4,5,CCC/C=C/CCCCCCCOC(=O)C,,,,,,,,4.00088,,,,24.97250605
5,2.05,C/C=C/C=C/CCCCCCCO,,,,,,,,1.37406,,,,49.19290278
6,2,CCC/C=C/CCCCCCCOC(=O)C,,,,,,,,4.00088,,,,-50.01099758
7,2,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,-0.990934,,,,-301.8297889
8,1.03,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C/C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,-0.990934,,,,-203.9423413
9,2.25,CCCC/C=C\CCCCCCCCCC=O,,,,,,,,2.0213,,,,11.31450057
10,5,CC/C=C\CCCCCCCCCCOC(=O)C,,,,,,,,3.90445,,,,28.05900959
11,5,CC/C=C/CCCCCCCCOC(=O)C,,,,,,,,3.59568,,,,39.0557558
12,5,CCCC/C=C\CCCCCCCCOC(=O)C,,,,,,,,4.03561,,,,23.8970069
13,0.1398,ClCC=CCl,,,,,,,,1.57883,,,,-91.1453418
14,0.463,C(CCN)CN,,,,,,,,10.7527,,,,-95.69410474
15,4.64,CCCCCCCCCCO,,,,,,,,3.62524,,,,27.99152608
16,0.01,CC1=CC1,,,,,,,,2.72918,,,,-99.63358958
17,2.51,OC(=O)Cc1cccc2ccccc12,,,,,,,,-0.521279,,,,-581.5079832
18,2,OC(=O)Cc1cccc2ccccc12,,,,,,,,-0.521279,,,,-483.6716998
19,0.158,C1(=C(C(=C(C(=C1Cl)C#N)Cl)Cl)O)C#N,,,,,,,,-0.740703,,,,-121.3310868
20,0.262,CC1OC(C)OC(C)OC(C)O1,,,,,,,,4.81907,,,,-94.56326636
21,0.5,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,,,,,,,,-0.0849813,,,,-688.3647344
22,1.273,Clc1cc(N)c(Cl)cc1OC(F)(F)C(F)C(F)(F)F,,,,,,,,-0.92979,,,,-236.9126362
23,0.5,C1=CC(=C(C(=C1)Cl)C(=O)N)Cl,,,,,,,,2.33684,,,,-78.60358433
24,2.065,C1=CC(=C(C(=C1)F)C(=O)N)F,,,,,,,,1.4868,,,,38.88888889
25,2,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl,,,,,,,,-0.805443,,,,-348.310557
26,10,NC(=O)Cc1cccc2ccccc12,,,,,,,,0.0734773,,,,13509.64543
27,5,O=S(C)(=O)c1cc(N)c(cc1)C(=O)O,,,,,,,,5.56329,,,,-10.1251238
28,2,OC(=O)c1ccc(c(COCC(F)(F)F)c1Cl)S(C)(=O)=O,,,,,,,,-0.122134,,,,-1737.545647
29,2,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O,,,,,,,,0.152499,,,,1211.48401
30,2.25,C1=CC=C(C=C1)C2=CC=CC=C2O,,,,,,,,2.9611,,,,-24.01472426
31,2.052,CCCOC2=Nc1ccccc1C(=O)N2CCC,,,,,,,,1.08513,,,,89.10176661
32,2,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)C(CC(C2=O)O)O)Cl)COCC(F)(F)F,,,,,,,,-0.39957,,,,-600.5380784
33,5,CC(C)C(C)C(C(C(C)C1CCC2C1(CCC3C2COC(=O)C4C3(CC(C(C4)O)O)C)C)O)O,,,,,,,,0.0655995,,,,7522.009314
34,0.09909,C1=CC(=C(C=C1N)Cl)Cl,,,,,,,,0.564961,,,,-82.46073623
35,1.465,OC(=O)c1nc(Cl)ccc1Cl,,,,,,,,1.77062,,,,-17.26062057
36,5,Clc1cc(cnc1C(O)=O)C(F)(F)F,,,,,,,,-0.282782,,,,-1868.146487
37,5,OC(=O)c1ncc(cc1S(C)=O)C(F)(F)F,,,,,,,,2.49069,,,,100.747584
38,5,OS(=O)(=O)c1cc(ccc1C(=O)O)C(F)(F)F,,,,,,,,-0.101759,,,,-5013.570298
39,2,O=C(CS(=O)CC(O)C(=O)O)N(Cn1cccn1)c2c(C)cccc2C,,,,,,,,-0.0392023,,,,-5201.741479
40,1.17,C1=CC(=CC=C1C(=O)O)Cl,,,,,,,,0.781577,,,,49.69734268
41,0.795,CC1NC(=S)NC1,,,,,,,,4.34127,,,,-81.68738641
42,1.937,Clc2cc(ccc2Oc1ccc(N)c(F)c1)C(F)(F)F,,,,,,,,-0.535793,,,,-461.520214
43,0.24,C1CN2C(=N1)SSC2=S,,,,,,,,1.08522,,,,-77.88466855
44,0.5,O=C2C(c1ccccc1C)=C(N)NN2C(C)C,,,,,,,,-0.0916167,,,,-645.7520299
45,1.599,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,,,,,,,,-0.164753,,,,-1070.543784
46,5,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,,,,,,,,-0.164753,,,,-3134.846103
47,0.311,C1=CC2=C(C(=C1)O)N=CC=C2,,,,,,,,0.675184,,,,-53.93848195
48,0.3,CC(=O)OC2=C(CCCCCCCCCCCC)C(=O)c1ccccc1C2=O,,,,,,,,1.50444,,,,-80.05902529
49,0.3,CC(=O)OC2=C(CCCCCCCCCCCC)C(=O)c1ccccc1C2=O,,,,,,,,1.50444,,,,-80.05902529
50,0.146,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,,,,,,,0.515574,,,,-71.68204758
51,2,CC(=O)O,,,,,,,,1.2844,,,,55.71473061
52,0.928,ClCC(=O)N(COCC)c1c(C)cccc1CC,,,,,,,,0.947541,,,,-2.062285431
53,1.345,ClCC(=O)N(COCC)c1c(C)cccc1CC,,,,,,,,0.947541,,,,41.94636433
54,0.375,ClCC(=O)N(COCC)c1c(C)cccc1CC,,,,,,,,0.947541,,,,-60.42387612
55,2,CSC(=O)C1=C2C(=CC=C1)N=NS2,,,,,,,,2.01219,,,,-0.605807603
56,2,Clc2c(N)c(ccc2Oc1ccccc1)[N+]([O-])=O,,,,,,,,0.962292,,,,107.8371222
57,5.596,Clc2c(N)c(ccc2Oc1ccccc1)[N+]([O-])=O,,,,,,,,0.962292,,,,481.5282679
58,2.25,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C,,,,,,,,0.753553,,,,198.585501
59,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C,,,,,,,,0.753553,,,,165.4093342
60,2,C1=CC=C(C(=C1)C(=O)O)C(F)(F)F,,,,,,,,-0.830746,,,,-340.7474728
61,2,[NH4+].O.O.O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3],,,,,,,,-0.567552,,,,-452.390618
62,5,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Si+4],,,,,,,,1.12711,,,,343.6124247
63,5,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],,,,,,,,-4.67394,,,,-206.9761272
64,2,n1c(c(c(n2ncnc12)N)CCCCCCCC)CC,,,,,,,,7.77219,,,,-74.26722713
65,0.545,n1c(c(c(n2ncnc12)N)CCCCCCCC)CC,,,,,,,,7.77219,,,,-92.98781939
66,2,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)N(C)S(C)(=O)=O,,,,,,,,-3.08696,,,,-164.7886594
67,2,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)N(C)S(C)(=O)=O,,,,,,,,-3.08696,,,,-164.7886594
68,2.25,Clc1c(nc(Cl)cc1N)C(=O)O,,,,,,,,143.949,,,,-98.43694642
69,2.25,Clc1c(nc(Cl)cc1N)C(=O)O,,,,,,,,143.949,,,,-98.43694642
70,2,CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br,,,,,,,,0.0965802,,,,1970.817828
71,2.15,C1=NNC(=N1)N,,,,,,,,-1.54861,,,,-238.8341803
72,1.8265,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N.[Na+],,,,,,,,2.71932,,,,-32.83247282
73,2.25,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-128.8333637
74,2,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-125.6296566
75,4,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-151.2593132
76,2.25,Cn1nc(nn1)c2cnn(C)c2S(=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3,,,,,,,,-1.14022,,,,-297.3303398
77,2.25,Cn1nc(nn1)c2cnn(C)c2S(=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3,,,,,,,,-1.14022,,,,-297.3303398
78,0.0085,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,,,,,,,,-0.390189,,,,-102.1784315
79,2,N#CC1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3/C(C(OC)=O)=C\OC)=C2,,,,,,,,1.40235,,,,42.61774878
